truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,g_mag,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
0,-0,0.0534,0,-0,0.001,0,0,-0,0,1,22200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.006,-0.0114,0.0004,0.0129,-0.0423,-0.076,0,0,0,0,-0.0001,-0.0003,0.0001,0,0,0,9.7554,0.946,1,0,0,0,0,0,0,0
0,-0,0.0536,0,-0,0.001,0,0,-0,0,1,22400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0067,-0.0015,0.0073,0.01,-0.0681,-0.0729,0,0,0,0,-0.0014,-0.0005,-0.0003,0,0,0,9.7745,0.9572,1,0,0,0,0,0,0,0
0,-0,0.0538,0,-0,0.001,0,0,-0,0,1,22600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0047,-0.0126,-0.0134,0.019,-0.0699,-0.0715,0,0,0,0,-0.0022,0.0002,-0.0008,0,0,0,9.7777,0.9617,1,0,0,0,0,0,0,0
0,-0,0.054,0,-0,0.001,0,0,-0,0,1,22800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0027,-0.0129,0.0095,0.0162,-0.0512,-0.0708,0,0,0,0,-0.0023,0.0002,-0.001,0,0,0,9.7506,0.9467,1,0,0,0,0,0,0,0
0,-0,0.0542,0,-0,0.001,0,0,-0,0,1,23000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.012,-0.0103,-0.0075,0.0175,-0.0797,-0.0679,0,0,0,0,-0.003,0.0005,-0.0013,0,0,0,9.7456,0.9402,1,0,0,0,0,0,0,0
0,-0,0.0544,0,-0,0.001,0,0,-0,0,1,23200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.003,0.0082,-0.0152,0.0175,-0.0812,-0.0748,0,0,0,0,-0.0032,0.0007,-0.0008,0,0,0,9.7713,0.9569,1,0,0,0,0,0,0,0
0,-0,0.0546,0,-0,0.001,0,0,-0,0,1,23400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0091,-0.0058,0.0058,0.0123,-0.0599,-0.0541,0,0,0,0,-0.0032,0.0012,-0.0005,0,0,0,9.7684,0.9621,1,0,0,0,0,0,0,0
0,-0,0.0548,0,-0,0.001,0,0,-0,0,1,23600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0151,-0.0174,-0.0008,0.023,-0.0398,-0.0588,0,0,0,0,-0.0027,0.0006,-0.0008,0,0,0,9.7755,0.9686,1,0,0,0,0,0,0,0
0,-0,0.0549,0,0,0.0006,0,0,-0,0,1,23800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0002,-0.0096,0.0092,0.0133,-0.0507,-0.0783,0,0,0,0,-0.003,0.0005,-0.0014,0,0,0,9.7495,0.9464,1,0,0,0,0,0,0,0
0,-0,0.055,-0,0,0.0001,0,0,-0,0,1,24000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0051,-0.0115,0.0083,0.0151,-0.0446,-0.046,0,0,0,0,-0.0032,0.0007,-0.0011,0,0,0,9.7519,0.9538,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,0,1,24200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0012,-0.0092,-0.012,0.0152,-0.0603,-0.089,0,0,0,0,-0.0036,0.0002,-0.0007,0,0,0,9.7661,0.955,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,0,1,24400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0037,0.0051,-0.0092,0.0112,-0.0417,-0.0673,0,0,0,0,-0.0039,0.0005,-0.0009,0,0,0,9.7619,0.9592,1,-0.0001,-0.0001,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,24600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0012,0.0003,0.0086,0.0087,-0.0432,-0.0729,0,0,0,0,-0.0044,0.001,-0.0001,0,0,0,9.7703,0.9653,1,0,-0,-0.0001,0.06,0.06,0.06,0.06
