truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,g_mag,a_X,a_Y,a_Z,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
0,0,-0.006,0,0,-0.882,0,-0,0,0,0,78400,0,0,0,0,0.002,0,0.8505,0,0,0,0,0,0,0.0035,-0.0028,0.0013,0.0047,0.0441,-0.0418,0.0572,-0.6307,-0.5572,0,0,0,0,2.2251,0.7127,2.1921,0,0,0,0.0835,0,1,-0.0055,-0.0052,-0.0029,0.4731,0.4516,0.4562,0.4568
0.0016,-0.0003,-0.0326,-0.0001,-0,0.0007,0.0041,0.0429,-0.0007,0,0,78600,0,0,0,0,0.002,0,0.8505,0,0,0,0,0,0,-0.0043,-0.0128,0.0149,0.02,-0.3778,-0.0213,9.8305,-0.0022,0.0384,0,0,0,0,2.256,0.6869,2.2346,0,0,0,9.8378,0,1,-0.0055,-0.0052,-0.0029,0.4731,0.4516,0.4562,0.4568
0.0015,-0.0003,-0.0325,-0.0001,-0,0.0007,0.0043,0.0424,-0.0007,0,0,78800,0,0,0,0,0.002,0,0.8505,0,0,0,0,0,0,-0.0093,-0.0016,0.0036,0.0101,-0.3431,-0.0097,9.8221,-0.001,0.0349,0,0,0,0,2.2532,0.6876,2.2315,0,0,0,9.8281,0,1,-0.0055,-0.0052,-0.0029,0.4731,0.4516,0.4562,0.4568
0.0015,-0.0003,-0.0323,-0.0001,-0,0.0007,0.0045,0.042,-0.0007,0,0,79000,0,0,0,0,0.002,0,0.8517,0,0,0,0,0,0,-0.0175,-0.0132,-0.0028,0.0221,-0.3672,-0.0107,9.8559,-0.0011,0.0372,0,0,0,0,2.2509,0.6879,2.2298,0,0,0,9.8627,0,1,-0.0055,-0.0052,-0.0029,0.4731,0.4516,0.4562,0.4568
0.0015,-0.0003,-0.0322,-0.0001,-0,0.0007,0.0046,0.0416,-0.0007,0,0,79200,0,0,0,0,0.002,0,0.867,0,0,0,0,0,0,-0.0062,-0.0158,-0.0007,0.017,-0.3589,-0.0247,9.8226,-0.0025,0.0365,0,0,0,0,2.2482,0.6893,2.2277,0,0,0,9.8292,0,1,-0.0055,-0.0052,-0.0029,0.4731,0.4516,0.4562,0.4568
0.0015,-0.0003,-0.0321,-0.0001,-0,0.0007,0.0048,0.0411,-0.0007,0,0,79400,0,0,0,0,0.002,0,0.9988,0,0,0,0,0,0,-0.0167,-0.008,0.0043,0.019,-0.3549,0.0037,9.8342,0.0004,0.0361,0,0,0,0,2.246,0.6902,2.2253,0,0,0,9.8406,0,1,-0.0055,-0.0052,-0.0029,0.4731,0.4516,0.4562,0.4568
0.0015,-0.0004,-0.032,-0.0001,-0,0.0007,0.005,0.0407,-0.0007,0,0,79600,0,0,0,0,0.002,0,1,0,0,0,0,0,0,0.0029,-0.0093,-0.0166,0.0192,-0.3639,0.0084,9.8393,0.0009,0.037,0,0,0,0,2.2428,0.6917,2.2226,0,0,0,9.846,0,1,-0.0055,-0.0052,-0.0029,0.4731,0.4516,0.4562,0.4568
0.0014,-0.0004,-0.0318,-0.0001,-0,0.0007,0.0051,0.0402,-0.0007,0,0,79800,0,0,0,0,0.002,0,1,0,0,0,0,0,0,-0.0071,-0.0091,-0.0044,0.0123,-0.3416,0.0044,9.8255,0.0004,0.0348,0,0,0,0,2.2401,0.6932,2.2202,0,0,0,9.8314,0,1,-0.0055,-0.0052,-0.0029,0.4731,0.4516,0.4562,0.4568
0.0014,-0.0004,-0.0317,-0.0001,-0,0.0007,0.0053,0.0398,-0.0007,0,0,80000,0,0,0,0,0.002,0,1,0,0,0,0,0,0,-0.0118,-0.0049,0.0016,0.0128,-0.3548,-0.0044,9.8151,-0.0004,0.0361,0,0,0,0,2.2382,0.6944,2.2182,0,0,0,9.8215,0,1,-0.0055,-0.0052,-0.0029,0.4731,0.4516,0.4562,0.4568
0.0014,-0.0004,-0.0316,-0.0001,-0,0.0007,0.0055,0.0394,-0.0007,0,0,80200,0,0,0,0,0.002,0,0.8816,0,0,0,0,0,0,0.0079,-0.0046,-0.0071,0.0116,-0.3308,-0.0061,9.8432,-0.0006,0.0336,0,0,0,0,2.2357,0.6955,2.2161,0,0,0,9.8488,0,1,-0.0055,-0.0052,-0.0029,0.4731,0.4516,0.4562,0.4568
