truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
0,0,0.0500092,0,0,2.50046,0,-0,0,0,1,3600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.01,0.0045,-0.0095,-0.06,-0.09,0,0,0,0,-0.00131995,0.00073174,-0.00129377,0,0,0,0.121347,0,1,0,0,0,0,0,0,0
0.00157303,-0.000303414,-0.0326876,-0.000132188,-4.5256e-05,0.00067013,0.00405517,0.0431124,-0.000716911,0,1,3800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00372224,-0.00851538,0.00439014,-0.42918,-0.0216893,0,0,0,0,0.00406374,0.065443,-0.00279193,0,0,0,9.86026,0.914666,1,0,0,0,0,0,0,0
0.00155326,-0.000312608,-0.032558,-0.000131543,-4.51434e-05,0.000670158,0.00421613,0.0426827,-0.000718292,0,1,4000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.00095349,0.00861894,0.00216542,-0.466669,-0.0162516,0,0,0,0,0.00333723,0.062072,-0.00314855,0,0,0,9.8669,0.925847,1,0,0,0,0,0,0,0
0.00153233,-0.000322376,-0.0324203,-0.000130857,-4.50238e-05,0.000670189,0.00438715,0.0422261,-0.000719649,0,1,4200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00506141,-0.00170944,-0.00280401,-0.460189,-0.00444443,0,0,0,0,0.00270621,0.0598406,-0.0031333,0,0,0,9.86276,0.932906,1,0,0,0,0,0,0,0
0.00151269,-0.000331568,-0.0322907,-0.000130211,-4.49111e-05,0.000670218,0.0045481,0.0417964,-0.000720822,0,1,4400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.000679611,0.0169735,-0.00536949,-0.471618,-0.0120937,0,0,0,0,0.00194772,0.057521,-0.00353911,0,0,0,9.85026,0.948558,1,0,0,0,0,0,0,0
0.00149191,-0.000341334,-0.0321531,-0.000129525,-4.47912e-05,0.00067025,0.00471909,0.0413399,-0.000721959,0,1,4600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00353463,-0.0075985,0.00147289,-0.480823,-0.0248614,0,0,0,0,0.00107571,0.0553927,-0.00344788,0,0,0,9.85017,0.954218,1,0,0,0,0,0,0,0
0.00147242,-0.000350525,-0.0320235,-0.000128878,-4.46782e-05,0.000670281,0.00488002,0.0409103,-0.000722925,0,1,4800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00743134,-0.00315435,0.00259966,-0.469702,0.00479171,0,0,0,0,0.00129641,0.0534952,-0.00260646,0,0,0,9.84107,0.963976,1,0,0,0,0,0,0,0
0.00145178,-0.000360288,-0.0318859,-0.000128191,-4.45579e-05,0.000670315,0.005051,0.0404539,-0.000723842,0,1,5000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.000176582,-0.00283159,-0.00225502,-0.454847,0.0126592,0,0,0,0,0.00144358,0.0530877,-0.0027432,0,0,0,9.86236,0.947235,1,0,0,0,0,0,0,0
0.00143244,-0.000369477,-0.0317563,-0.000127544,-4.44445e-05,0.000670349,0.00521191,0.0400243,-0.000724602,0,1,5200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0136864,1.52739e-05,0.0026097,-0.460265,-0.00637732,0,0,0,0,0.000968805,0.0513272,-0.00250404,0,0,0,9.82754,0.975347,1,0,0,0,0,0,0,0
0.00141316,-0.000378664,-0.0316268,-0.000126896,-4.43309e-05,0.000670384,0.0053728,0.0395948,-0.000725262,0,1,5400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0151376,-0.0101909,0.00602555,-0.461601,-0.00583261,0,0,0,0,-4.76556e-05,0.0496645,-0.00292293,0,0,0,9.84755,0.966137,1,0,0,0,0,0,0,0
0.00139275,-0.000388425,-0.0314892,-0.000126206,-4.42024e-05,0.000670391,0.00554373,0.0391385,-0.000725853,0,1,5600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0103872,0.00393721,-0.00299169,-0.446007,-0.000802136,0,0,0,0,0.000727167,0.0486789,-0.00418227,0,0,0,9.86055,0.955932,1,0,0,0,0,0,0,0
0.00137292,-0.000392837,-0.0313799,-0.000124847,-3.44011e-06,0.000493489,0.0056184,0.0387091,-0.000726782,0,1,5800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00135588,-0.0417442,0.0114948,-0.446818,-0.0067235,0,0,0,0,8.47402e-05,0.0427457,-0.00347223,0,0,0,9.84101,0.97074,1,0,0,0,0.06,0.06,0.06,0.06
0.0013481,-0.000388507,-0.031291,-0.00014838,4.02396e-05,0.000397999,0.00553425,0.0382013,-0.000728708,0,1,6000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00908445,-0.0376765,0.00120497,-0.427282,-0.000239529,0,0,0,0,-0.000658396,0.0358151,-0.00258703,0,0,0,9.8486,0.9552,1,0,0,0,0.06,0.06,0.06,0.06
0.00132034,-0.000377882,-0.0312198,-0.000164276,6.66742e-05,0.000346924,0.00533602,0.0376507,-0.000731265,0,1,6200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00239742,-0.031498,-0.00420735,-0.423536,-0.0019627,0,0,0,0,-0.00196483,0.0303826,-0.00184006,0,0,0,9.83255,0.954481,1,0,0,0,0.06,0.06,0.06,0.06
0.001288,-0.000362372,-0.0311519,-0.000174569,8.37899e-05,0.000313943,0.00504887,0.037019,-0.00073434,0,1,6400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0124723,-0.0388049,0.0126585,-0.443891,-0.0285209,0,0,0,0,-0.00236335,0.0261047,-0.00124601,0,0,0,9.82379,0.946497,1,0,0,0,0.06,0.06,0.06,0.06
0.00126,-0.000347558,-0.0310999,-0.000179864,9.26101e-05,0.000297042,0.00477551,0.0364765,-0.000736951,0,1,6600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00591019,-0.0280385,0.00712279,-0.422247,-0.0374155,0,0,0,0,-0.00322346,0.0224564,0.0001358,0,0,0,9.82538,0.942273,1,0,0,0,0.06,0.06,0.06,0.06
0.00122495,-0.000328031,-0.0310396,-0.000183899,9.93646e-05,0.000284209,0.0044159,0.0358009,-0.000740069,0,1,6800,0,0,0,0,0.002,0,0.0439292,0,0,0,0,0,0,-0.0156092,-0.0119652,0.0138386,-0.41148,-0.0257884,0,0,0,0,-0.00367272,0.0187224,0.000916731,0,0,0,9.83873,0.927881,1,0,0,0,0.06,0.06,0.06,0.06
0.0011913,-0.000308676,-0.0309846,-0.000186185,0.000103255,0.000277008,0.00406006,0.0351546,-0.000742864,0,1,7000,0,0,0,0,0.002,0,0.0909091,0,0,0,0,0,0,-0.00864399,-0.0457939,-0.00423354,-0.389902,-0.0231002,0,0,0,0,-0.00449953,0.0152676,0.00108183,0,0,0,9.85471,0.914996,1,0,0,0,0.0909091,0.0909091,0.0909091,0.0909091
0.00115675,-0.000288451,-0.0309298,-0.000157922,8.86636e-05,0.000231069,0.00368876,0.0344925,-0.000745506,0,1,7200,0,0,0,0,0.002,0,0.135448,0,0,0,0,0,0,-0.00314273,-0.0196523,0.00617118,-0.396321,0.00276142,0,0,0,0,-0.00490661,0.0131205,0.00137915,0,0,0,9.87377,0.896022,1,0,0,0,0.135448,0.135448,0.135448,0.135448
