truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,g_mag,a_X,a_Y,a_Z,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
0,-0,0.0535,0,-0,0.001,0,0,-0,1,0,2400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0001,0.0053,0.0001,0.0053,0.0697,0.0217,9.7532,0.0022,-0.0071,0,0,0,0,0.0012,-0.0003,-0.0004,0,0,0,9.7535,0.9492,1,0,0,0,0,0,0,0
0,-0,0.0537,0,-0,0.001,0,0,-0,1,0,2600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0019,0.003,-0.0075,0.0083,0.0314,0.0408,9.7589,0.0042,-0.0032,0,0,0,0,0.0022,-0.0003,-0.0009,0,0,0,9.759,0.96,1,0,0,0,0,0,0,0
0,-0,0.0539,0,-0,0.001,0,0,-0,1,0,2800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0011,0.0031,-0.0091,0.0096,0.0516,0.0186,9.7436,0.0019,-0.0053,0,0,0,0,0.0034,-0.0001,-0.0009,0,0,0,9.7438,0.9458,1,0,0,0,0,0,0,0
0,-0,0.0541,-0,-0,0.001,0,0,-0,1,0,3000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0047,-0.005,0.0098,0.012,0.054,0.027,9.7504,0.0028,-0.0055,0,0,0,0,0.004,-0.0003,-0.0012,0,0,0,9.7506,0.9505,1,0,0,0,0,0,0,0
0,-0,0.0543,0,-0,0.001,0,0,-0,1,0,3200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0017,0.0089,0.0001,0.009,0.0568,0.0214,9.7465,0.0022,-0.0058,0,0,0,0,0.0054,0.0004,-0.0017,0,0,0,9.7467,0.9444,1,0,0,0,0,0,0,0
0,-0,0.0545,0,-0,0.001,0,0,-0,1,0,3400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0027,0.0044,-0.0042,0.0067,0.0396,0.0315,9.7464,0.0032,-0.0041,0,0,0,0,0.0064,0.0008,-0.0019,0,0,0,9.7465,0.9469,1,0,0,0,0,0,0,0
0,-0,0.0547,0,-0,0.001,0,0,-0,1,0,3600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0046,0.0022,-0.0007,0.0052,0.0521,0.0251,9.7379,0.0026,-0.0053,0,0,0,0,0.0071,0.0009,-0.0023,0,0,0,9.7381,0.9371,1,0,0,0,0,0,0,0
0,-0,0.0548,0,-0,0.001,0,0,-0,1,0,3800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0091,0.005,-0.0132,0.0168,0.0359,0.0281,9.7367,0.0029,-0.0037,0,0,0,0,0.0076,0.001,-0.0024,0,0,0,9.7368,0.9383,1,0,0,0,0,0,0,0
0,-0,0.055,0,-0,0.0002,0,0,-0,1,0,4000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0069,0.0013,0.0062,0.0094,0.056,0.039,9.7471,0.004,-0.0057,0,0,0,0,0.0085,0.0011,-0.0023,0,0,0,9.7473,0.9423,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0.0001,0,0,-0,1,0,4200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0098,-0.0029,-0.0072,0.0125,0.0391,0.0485,9.7445,0.005,-0.004,0,0,0,0,0.009,0.0009,-0.0027,0,0,0,9.7447,0.9443,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,4400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0176,0.0111,-0.0163,0.0265,0.0508,0.024,9.7464,0.0025,-0.0052,0,0,0,0,0.0093,0.0011,-0.0029,0,0,0,9.7466,0.9394,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,4600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0027,0.0003,0.0062,0.0068,0.0529,0.0458,9.7222,0.0047,-0.0054,0,0,0,0,0.0085,0.0004,-0.003,0,0,0,9.7224,0.9281,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,4800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0124,0.0004,-0.004,0.0131,0.0187,0.0473,9.7528,0.0048,-0.0019,0,0,0,0,0.0079,-0.0006,-0.0032,0,0,0,9.753,0.9563,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,5000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0073,0.0047,-0.0138,0.0163,0.0659,0.0148,9.7363,0.0015,-0.0068,0,0,0,0,0.0073,-0.0011,-0.0038,0,0,0,9.7366,0.9353,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,5200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0038,-0.0024,0.014,0.0147,0.0624,0.0491,9.7457,0.005,-0.0064,0,0,0,0,0.0066,-0.0019,-0.0037,0,0,0,9.7461,0.9488,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,5400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0053,-0.0019,0.0012,0.0057,0.0416,0.0366,9.761,0.0037,-0.0043,0,0,0,0,0.0059,-0.0026,-0.0038,0,0,0,9.7612,0.9632,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,5600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0065,-0.009,-0.0044,0.0119,0.0643,0.0476,9.7304,0.0049,-0.0066,0,0,0,0,0.0058,-0.0028,-0.0041,0,0,0,9.7307,0.9401,1,0,0,0,0,0,0,0
0,-0,0.055,0,0,0,0,0,-0,1,0,5800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0129,0.0036,0.0089,0.0161,0.0488,0.0528,9.748,0.0054,-0.005,0,0,0,0,0.0056,-0.0031,-0.0042,0,0,0,9.7483,0.9563,1,0,0,0,0,0,0,0
