time,angle_deg,gyro_deg_s,left_motor,right_motor,torque
0.001,0.000214645,0.214645,0.25,0.75,0.075
0.021,0.0492542,4.46279,0.25,0.75,0.075
0.041,0.182371,8.62686,0.25,0.75,0.075
0.062,0.410812,12.9105,0.25,0.75,0.075
0.082,0.711121,16.9073,0.25,0.75,0.075
0.103,1.11155,21.0189,0.25,0.75,0.075
0.123,1.57234,24.8553,0.25,0.75,0.075
0.144,2.13786,28.8019,0.25,0.75,0.075
0.164,2.75268,32.4842,0.25,0.75,0.075
0.185,3.47666,36.2723,0.25,0.75,0.075
0.206,4.28382,41.2663,0.25,0.75,0.15
0.226,5.19012,48.9544,0.25,0.75,0.15
0.247,6.30545,56.8631,0.25,0.75,0.15
0.267,7.52044,64.2425,0.25,0.75,0.15
0.288,8.95332,71.8337,0.25,0.75,0.15
0.308,10.4646,78.9168,0.25,0.75,0.15
0.328,12.1161,85.8597,0.25,0.75,0.15
0.349,13.9979,93.0019,0.25,0.75,0.15
0.369,15.9282,99.6661,0.25,0.75,0.15
0.389,17.9903,106.198,0.25,0.75,0.15
0.41,20.2946,112.918,0.25,0.75,0.15
0.43,22.619,119.188,0.25,0.75,0.15
0.45,25.0675,125.334,0.25,0.75,0.15
0.471,27.7693,131.656,0.25,0.75,0.15
0.491,30.4646,137.555,0.25,0.75,0.15
0.511,33.2766,143.338,0.25,0.75,0.15
0.531,36.2031,149.006,0.25,0.75,0.15
0.551,39.2417,154.561,0.25,0.75,0.15
0.572,42.5505,160.277,0.25,0.75,0.15
0.592,45.8122,165.609,0.25,0.75,0.15
0.612,49.16,168.063,0.25,0.75,0.075
0.632,52.531,168.978,0.251,0.748,0.07455
0.652,55.9188,169.728,0.263,0.736,0.07095
0.672,59.3193,170.259,0.275,0.724,0.06735
0.693,62.8987,170.587,0.287,0.712,0.06375
0.713,66.3119,170.693,0.298,0.701,0.06045
0.733,69.7251,170.606,0.309,0.69,0.05715
0.753,73.1346,170.342,0.319,0.68,0.05415
0.773,76.5371,169.908,0.334,0.665,0.04965
0.793,79.9293,169.319,0.343,0.656,0.04695
0.814,83.4767,168.546,0.352,0.647,0.04425
0.834,86.8387,167.671,0.36,0.639,0.04185
0.854,90.0002,1.36739e-07,0.369,0.63,0.03915
0.874,90.0002,4.25665e-12,0.376,0.623,0.03705
0.894,90.0002,-2.61198e-12,0.384,0.615,0.03465
0.914,90.0002,4.10018e-12,0.391,0.608,0.03255
0.934,90.0002,-1.90985e-12,0.398,0.601,0.03045
0.955,90.0002,-1.63319e-12,0.25,0.75,0.075
0.975,90.0002,-1.63319e-12,0.25,0.75,0.075
0.995,90.0002,-1.63319e-12,0.25,0.75,0.075
1.016,90.0002,-1.63319e-12,0.25,0.75,0.075
1.036,90.0002,-1.63319e-12,0.25,0.75,0.075
1.056,90.0002,-1.63319e-12,0.25,0.75,0.075
1.076,90.0002,-1.63319e-12,0.25,0.75,0.075
1.096,90.0002,-1.63319e-12,0.25,0.75,0.075
1.116,90.0002,-1.63319e-12,0.25,0.75,0.075
1.137,90.0002,-1.63319e-12,0.25,0.75,0.075
1.157,90.0002,-1.63319e-12,0.25,0.75,0.075
1.177,90.0002,-1.63319e-12,0.25,0.75,0.075
1.197,90.0002,-1.63319e-12,0.25,0.75,0.075
1.217,90.0002,-1.63319e-12,0.25,0.75,0.075
1.237,90.0002,-1.63319e-12,0.25,0.75,0.075
1.258,90.0002,-1.63319e-12,0.25,0.75,0.075
1.278,90.0002,-1.63319e-12,0.25,0.75,0.075
1.298,90.0002,-1.63319e-12,0.25,0.75,0.075
1.318,90.0002,-1.63319e-12,0.25,0.75,0.075
1.338,90.0002,-1.63319e-12,0.25,0.75,0.075
1.358,90.0002,-1.63319e-12,0.25,0.75,0.075
