time,angle_deg,gyro_deg_s,left_motor,right_motor,torque
0.001,-3.00502e-06,-0.00300502,0.503,0.496,-0.00105
0.021,-0.000689559,-0.062479,0.503,0.496,-0.00105
0.041,-0.0014782,-0.0187186,0.497,0.502,0.00075
0.062,-0.00137446,0.0262981,0.497,0.502,0.00075
0.082,-0.000406063,0.0683016,0.497,0.502,0.00075
0.103,0.00150515,0.111511,0.497,0.502,0.00075
0.123,0.00416004,0.151828,0.497,0.502,0.00075
0.144,0.00780616,0.193302,0.497,0.502,0.00075
0.164,0.0120541,0.223432,0.499,0.5,0.00015
0.185,0.0167934,0.227716,0.499,0.5,0.00015
0.206,0.0264218,1.60221,0.499,0.5,0.08015
0.226,0.105999,6.11489,0.499,0.5,0.08015
0.247,0.285646,10.7571,0.499,0.5,0.08015
0.267,0.546413,15.0886,0.499,0.5,0.08015
0.288,0.912451,19.5444,0.499,0.5,0.08015
0.308,1.34713,23.702,0.499,0.5,0.08015
0.328,1.8641,27.7773,0.499,0.5,0.08015
0.349,2.49362,31.9593,0.5,0.499,0.07985
0.369,3.17384,35.8542,0.5,0.499,0.07985
0.389,3.93113,39.672,0.5,0.499,0.07985
0.41,4.80759,43.5993,0.5,0.499,0.07985
0.43,5.71817,47.2638,0.5,0.499,0.07985
0.45,6.67938,48.0888,0.725,0.274,0.01235
0.471,7.68579,47.7497,0.733,0.266,0.00995
0.491,8.63622,47.2886,0.742,0.257,0.00725
0.511,9.57592,46.6883,0.75,0.25,0.005
0.531,10.5029,46.0477,0.75,0.25,0.005
0.551,11.4173,45.4199,0.75,0.25,0.005
0.572,12.364,44.774,0.75,0.25,0.005
0.592,13.2531,44.1713,0.75,0.25,0.005
0.612,14.1095,40.622,0.75,0.25,-0.075
0.632,14.8687,35.5656,0.75,0.25,-0.075
0.652,15.5278,30.6093,0.75,0.25,-0.075
0.672,16.0888,25.7511,0.75,0.25,-0.075
0.693,16.5745,20.7535,0.75,0.25,-0.075
0.713,16.9404,16.0903,0.75,0.25,-0.075
0.733,17.2141,11.5195,0.75,0.25,-0.075
0.753,17.3973,7.03909,0.75,0.25,-0.075
0.773,17.4918,2.64739,0.75,0.25,-0.075
0.793,17.4994,-1.6574,0.75,0.25,-0.075
0.814,17.4157,-6.08576,0.75,0.25,-0.075
0.834,17.2505,-10.2177,0.75,0.25,-0.075
0.854,17.0035,-14.2679,0.75,0.25,-0.075
0.874,16.6763,-18.2379,0.75,0.25,-0.075
0.894,16.2894,-19.7482,0.556,0.443,-0.01695
0.914,15.8888,-20.2672,0.55,0.449,-0.01515
0.934,15.479,-20.6738,0.544,0.455,-0.01335
0.955,15.0412,-20.9859,0.539,0.46,-0.01185
0.975,14.6189,-21.216,0.536,0.463,-0.01095
0.995,14.1928,-21.382,0.533,0.466,-0.01005
1.016,13.7424,-21.4915,0.529,0.47,-0.00885
1.036,13.312,-21.5372,0.526,0.473,-0.00795
1.056,12.8812,-21.5302,0.523,0.476,-0.00705
1.076,12.4512,-21.4722,0.52,0.479,-0.00615
1.096,12.0227,-21.3721,0.518,0.481,-0.00555
1.116,11.5968,-21.2229,0.515,0.484,-0.00465
1.137,11.1532,-21.0213,0.511,0.488,-0.00345
1.157,10.7352,-20.7906,0.509,0.49,-0.00285
1.177,10.3221,-20.5296,0.506,0.493,-0.00195
1.197,9.91465,-20.2219,0.504,0.495,-0.00135
1.217,9.51369,-19.8862,0.502,0.497,-0.00075
1.237,9.11973,-19.5232,0.5,0.499,-0.00015
1.258,8.71421,-19.113,0.498,0.501,0.00045
